image_name,cv_width,cv_height,cv_mean_L,cv_mean_a,cv_mean_b,cv_var_L,cv_var_a,cv_var_b
IMG_0947.jp2,3.5188,5.3119,74.7307,110.5383,150.2218,370.8879,6.1433,37.3221
IMG_0948.jp2,3.6696,5.2481,81.8003,108.8626,151.1104,420.4482,6.9743,45.3448
IMG_0949.jp2,3.4397,5.0584,80.9565,109.904,151.194,368.0391,8.453,34.2285
IMG_0950.jp2,3.4278,5.4386,80.3157,109.7027,150.3985,408.9039,7.3786,30.5824
IMG_0951.jp2,3.5347,5.464,74.6198,110.6195,150.8118,744.9113,15.4215,34.2033
IMG_0952.jp2,3.5394,5.3902,73.9746,110.8962,152.2135,393.3266,8.0086,20.9138
IMG_0953.jp2,3.5264,5.1146,81.6142,108.8719,150.4138,279.4561,4.9976,26.5481
IMG_0954.jp2,3.5204,5.166,89.1678,109.0443,153.4125,388.2964,6.0078,42.4815
IMG_0955.jp2,3.5653,5.6451,78.7812,109.6634,150.2604,467.7737,11.7473,48.6432
IMG_0956.jp2,3.7003,5.4153,83.1618,109.1957,153.1746,488.0646,7.6225,51.116
IMG_0957.jp2,3.6296,5.5321,75.0561,111.0325,151.0526,265.9739,4.4942,25.7898
IMG_0958.jp2,3.5346,5.5043,90.6417,108.6997,154.4161,644.6571,6.8055,45.3784
IMG_0959.jp2,3.5895,5.3168,79.0122,108.7237,151.9429,329.2731,7.3748,37.7331
IMG_0960.jp2,3.5587,5.2302,84.2897,108.4164,153.1432,415.9345,4.6764,36.8097
IMG_0961.jp2,3.2051,5.0501,85.4288,108.4104,152.6319,367.0781,5.564,40.7738
IMG_0962.jp2,3.452,5.1375,77.464,109.4516,148.5653,282.5524,7.1841,30.5685
IMG_0963.jp2,3.6174,5.5476,79.2277,110.8535,152.2159,332.8635,6.992,29.9664
IMG_0964.jp2,3.654,5.6899,82.7833,109.157,151.5262,468.5046,7.9356,47.2587
IMG_0965.jp2,3.8222,5.7535,86.465,108.9575,154.8617,397.5539,11.0412,29.2705
IMG_0966.jp2,3.5134,5.3107,83.694,108.11,152.3925,401.839,7.9114,34.5622
IMG_1349.jp2,3.7158,5.8833,83.863,110.765,152.8745,226.9571,5.8653,27.1622
IMG_1350.jp2,3.5121,5.6843,85.3453,110.9203,152.9706,332.3382,7.2887,45.8617
IMG_1351.jp2,3.6727,5.7775,85.8496,112.0469,153.3695,261.1593,5.2064,24.3024
IMG_1352.jp2,3.7739,5.7032,76.8782,111.5949,150.5898,237.8207,5.8736,19.5098
IMG_1353.jp2,3.7892,5.6063,87.2574,112.4393,154.8903,163.8834,5.8356,24.8138
IMG_1354.jp2,3.4068,5.5097,83.7361,111.9437,151.8748,224.8378,5.5181,14.542
IMG_1355.jp2,3.8126,5.5008,91.489,111.2857,154.0294,267.3541,5.6819,22.515
IMG_1356.jp2,3.5805,5.5118,88.5015,111.2031,152.4074,209.1466,6.7164,25.6964
